,Poor or fair health raw value,Low birthweight raw value,Food environment index raw value,Access to exercise opportunities raw value,Excessive drinking raw value,Sexually transmitted infections raw value,Ratio of population to primary care physicians.,Ratio of population to mental health providers.,High school graduation raw value,Some college raw value,Unemployment raw value,Income inequality raw value,Children in single-parent households raw value,Violent crime raw value,Severe housing problems raw value,Percentage of households with overcrowding,Percentage of households with lack of kitchen or plumbing facilities,Insufficient sleep raw value,Ratio of population to primary care providers other than physicians.,Population raw value,% below 18 years of age raw value,% not proficient in English raw value,% Females raw value,% Rural raw value
1824,1.0868615206268886,1.2927982177066486,-1.090222886199253,0.8612135781697576,-1.0437704110056225,-0.3543821466692867,-0.6188441735162216,-0.6788712645044718,-2.094507472524731,-0.0073047662228725154,1.980688813025907,1.9884011148738912,1.3531788641710112,0.8969131878591762,1.4859508732380424,-0.0759907633316149,0.8298577452720586,-0.5147997860906764,-0.49868350782077014,-0.21279431615071812,-1.2023891684063726,0.1315935473175361,0.4832356040685252,-0.0043257935344542175
2730,0.191978571718657,0.5480742258930865,0.20033331580435432,-1.2111631150392739,0.7205007263613216,-0.6581759661815952,-0.1646942422227815,1.5902402990573747,0.5913131311274784,-0.5821617269887642,-0.14934104514979205,-0.9350632812938641,0.17340284731288821,0.26275789721963144,-0.7716515530839716,0.8881891703238799,-0.6109796920335572,-0.5409232119536571,0.31355388977885634,-0.26006946945456916,0.9345596592740206,0.5418423630934683,-1.6941201884860453,-0.8548825783148942
3102,-1.2677164509122196,-1.235708305813696,1.4048524376743874,0.9138165784044118,2.5738792788820217,-0.8536433053151727,-0.2515701043795931,-0.4128381793446405,0.6475464464018882,1.7999183148228395,-0.9105708183260094,-1.3336725602780797,-1.0067127531850655,-0.9935302259173538,-0.5815661886956182,-0.12611272188099232,-0.4504035918268061,-0.3996254312745896,0.447931555163847,-0.044927738131556295,0.8543182223327436,-0.41607884435068615,0.06886183186232148,-0.17220718573124905
2723,0.07017589219805466,-0.37500281467666946,-0.8321116457985317,-1.061195713756265,-0.09324779492488328,-0.39075745926878663,0.7550352675282052,0.9290086866573147,0.6865759613736523,-0.8888608446095182,0.260906596129904,0.11930638380111998,-0.0926024569328337,0.6986397045082273,-0.437618847607237,0.09749843762422802,-0.23205013872872143,-0.7713138356442498,0.6715897019211257,-0.15262921472788124,0.23750210012543668,0.5358749467120059,-1.12680696111309,0.23178119158173222
3079,-0.830636032091954,-0.8460614563230825,1.0607041171400917,-0.4302117470823772,2.190187644474155,-0.926393930514173,0.6699519016896067,-0.5027020920711576,0.9610236394412618,0.4295601390448632,-1.2545010812345365,-1.0157516388727197,-0.5769371040368905,-0.8513132281984966,-0.5674715499286284,-0.22156975408914575,-0.39433656926249555,-0.4046465324343162,0.7996393987194904,-0.26099725747431446,0.7064330961557017,-0.25565295661745063,-0.19086717181267351,1.3169987318141874
9,0.38479925038058477,0.0646039571350256,0.8886299568729447,-1.2778567751678271,-0.6718112791730342,-0.8448492736977112,0.12088379183442993,1.381189711832905,0.8913173674082173,-0.6449354643821164,-0.3369115202047199,0.3635481848351352,-0.566810141321642,0.43554579161259194,0.2642783695458677,-0.10041483124162173,-0.27702975761081544,0.5563112583990802,-0.21873234439834055,-0.23362600961671484,-0.7282398843460736,-0.5633189144624359,0.18975806399536962,0.8634227836453988
1944,-0.5113685046008174,0.07491287082236332,0.6305187164722227,0.5213767422103047,-0.0433271657582855,-0.4055474215345176,-0.19995002183056462,0.13223459314372224,0.2102618101427827,0.0621809108306501,-0.34978146053444514,0.048563920318947906,-0.7299234655797077,-0.5124534953803567,-0.38357562290862474,-0.08456582790272854,-0.4065320037813692,-0.5358112965997425,0.013684333173219626,-0.06384380455354813,-0.2614171639094951,-0.16564549463551323,0.21496307286535432,-0.1281783511265976
1838,-1.2550442268708617,-0.8064903022773291,0.8886299568729447,0.4974916675062967,0.7979745212063545,-0.350784588280325,-0.21987629254893093,-0.48554861725109644,-0.7495327965883427,0.4188227654179666,-0.46455043899615883,-0.3546431546150822,0.13027459517249687,-0.5537124355393649,0.11245986878868953,-0.5016708945006483,-0.29208024535604854,-0.33382025370686624,-0.21529513014598378,-0.12929639692386558,-1.3267345815638294,-0.1510117673700608,-0.01944967861412134,0.46788957141341947
708,0.1548147499948357,-0.7123947064971962,1.2327782774072402,0.016489936030884614,0.14663583805345132,-0.09855577234313205,0.8551044333123996,0.3691564629680286,0.24991667252010674,-0.9343396732073229,-0.9178941951218796,-1.0492314539766756,-0.0389688408215043,-0.7587793465547135,-0.5387390551703697,-0.29330569236138915,-0.39483952834621805,0.4790923532349711,0.4506556137046754,-0.21422953515860893,1.1901927755486479,0.584727328050672,0.11441279018851497,-0.2798554622851364
255,1.2530407180853498,0.9952340448031347,1.4908895178079609,-1.7681287902069167,-0.7259067955256626,-0.2912250105075172,-0.3879787290991396,0.940411217501381,0.11352773938538847,0.26327790511659865,-0.2443384333374296,0.45246921662017786,-0.9114998524120141,-1.0918535493354289,0.0728299069352865,0.3080093948029585,-0.5517946824066549,-1.0713775734103184,-0.25735344152448103,-0.2866900797557405,1.2391903741468289,0.5520262679877245,-0.09959699907309663,1.3169987318141874
1617,-0.9758198227028454,0.2944646095736243,0.3724074760715021,0.2897869980782481,0.47110744208117455,-0.2344635337039017,0.33130427933425577,0.6406785745151492,1.0812362581077999,0.3913624812196818,0.7411267906886105,-0.9448900082908647,-1.5837513279789555,-0.5844304335678222,-0.5606031247738565,-0.007788317667264717,-0.12227063068685799,-1.7052909290555838,-0.08955143332124998,-0.30118038714503137,-1.8882977306220525,-0.5968372704752333,-0.3109985581522491,1.3169987318141874
389,0.3562955468465328,0.6721453840304769,0.2863703959379278,-0.07888010278990139,-0.510125473727137,0.5669925296147548,-0.12019835987063522,3.891593521127401,-0.5012790163688555,-1.3253357067667215,-0.04846510534364621,1.1482989085874693,1.0892191912172715,-0.23793288576296054,-0.8805032654529077,-0.2669548021615759,-0.6941304445326902,0.815905713391111,-0.12257913017394942,-0.2772770847981303,1.0564930667443808,0.39574466772422007,0.45519453244329455,0.34032358093913634
