,Teen births raw value
2950,46.05263157899999
1731,9.4400343274
2181,49.667178699
2583,16.396702387
2249,24.829208089
2758,20.665593129
2875,17.066085694
297,35.225048924
2157,35.44575725
2401,12.173054779000001
958,35.470668486
1912,36.60233003
1345,18.811881188
2691,37.906976744
349,26.505142485
1999,25.745257453
643,15.546533041
1995,33.973412112
2953,52.409748946
669,31.64160401
2089,25.451362911
1149,42.513624506
1891,30.87431694
2499,47.231270358
3013,60.373742213999996
2679,47.277936963
1710,30.579490689
786,29.116465863
2825,29.041626331
140,46.278924328
788,25.599349858
1721,30.579490689
3130,20.93244529
714,19.724712716
2609,30.579490689
1713,30.878568803
2973,33.204974433000004
1198,9.4072227924
618,40.151515152
406,34.266497001
1292,32.029152282
1278,28.735632184
1192,14.544593154000001
2371,30.579490689
1775,4.3910891089
497,24.96099844
342,50.042408821
2042,43.205910697
2382,30.579490689
782,22.793687902
1626,15.835312747
303,17.386722866
2891,16.295707472
664,20.853384665
1809,44.726503475
1620,30.579490689
1846,16.884855698
1624,29.309344167
84,69.938176198
2325,20.4013734
941,34.816247582
961,17.982799062
841,13.688584698
1483,12.058954890999999
2494,31.863814928000004
2855,18.326693227
1413,31.749325585999998
290,30.579490689
2107,27.156933429000002
1871,12.454022562999999
604,13.418028692
2614,55.497570632
916,57.109420714
1385,14.519056261
1817,41.807909605
1099,40.445942441999996
1088,41.14026563
2206,37.360504609
2643,49.600837587
821,20.769072589
2589,37.40490279
1000,20.913076762
2098,30.715532286
18,45.273631841
2291,13.923694214000001
1125,48.250265111000004
1350,8.4745762712
2161,50.05520795
2242,30.579490689
1714,23.333333333000002
2221,24.499719469000002
1811,84.841441142
1653,26.714893077
2121,30.838151795
3124,32.0056899
1009,54.321966693
360,34.763350838
2682,23.399014778
2005,16.282225237000002
1588,35.836734694
1323,5.506824529
1395,7.5967663322000005
1746,24.630541872
344,50.011088933
986,22.282241729
2960,30.861416471
1988,31.320754717
1474,38.461538462
1268,28.191770899999998
113,38.676537241
2579,42.361557876
2015,30.579490689
2780,28.701767725
85,65.373961219
2168,43.269230768999996
668,16.994158258
1014,50.0
128,59.299191375
2490,32.793867121
2647,62.228106677
891,38.503850385
2020,59.572301426
307,33.124440466
383,24.509854108
2673,30.579490689
2880,18.636003172
3088,23.17123857
426,57.302720432
494,5.5626872058
1207,12.23224561
1747,33.833871887
1208,23.719748501999998
2551,56.210691823999994
2309,20.462931902
1398,7.1338648762
1448,40.99636741
275,30.579490689
489,38.781163435
1883,11.203592960999998
690,40.33970276
1465,45.71266326
1765,15.99808978
2009,30.579490689
2406,18.390804598
3059,10.262790911
2184,50.656660413000004
1058,54.780361757
118,49.875754349
1024,61.615320566
1488,34.925160371
281,21.233569262
1667,7.3928043371
2451,27.038565533000003
968,13.318715231
1283,29.379360999
2739,35.36977492
2639,53.090633295
155,50.447227191
304,15.862524785
2248,22.219925589000002
2676,46.587215601000004
1886,20.546917962000002
2620,45.267489712
2736,73.81001231
2002,23.170731706999998
575,24.658447184
2059,36.744285409
2697,61.579284473
2751,49.443437743000004
1927,45.905707196
1320,7.9320379236
843,11.660018411
2951,4.7104164436
269,16.420361248
629,24.509803922
1033,48.217668331000006
286,41.906958862
2323,26.709222241
300,30.579490689
1507,26.244952894
2012,30.579490689
1861,19.060523939
1793,15.530580197
65,40.361864997
2332,54.323725055
890,24.707174231
1660,37.084398977
1965,35.110323724000004
1925,31.432153619
1362,16.866080438
230,25.965524765
503,36.172396101
1351,27.159152634
2155,50.94537815100001
1609,22.924411399999997
1373,19.173239054
1004,35.834266516999996
836,13.409961686
2373,21.520803443000002
374,11.262183635
1397,11.66558652
2218,30.579490689
1985,38.538501445
2004,30.579490689
2176,46.209761163
751,26.803088318
99,54.686711734
1916,21.411282815
866,29.552266767
910,9.324009324
1475,53.869912791000004
529,33.579583613
1260,27.787396121999997
1864,25.985563576
636,17.977928088
1269,22.198150917
185,51.449571254
2870,26.031746031999997
1565,14.864608976
931,19.886363636
1771,6.9336725197
2411,24.523160763000003
1556,6.4133709066
2517,23.471427586999997
1273,41.476985331
2383,30.579490689
607,39.940828402
1801,30.579490689
151,41.636230825
2687,54.889338308999996
2252,7.8822987968
731,29.526462396
1494,53.206159504
1978,32.915360502
2861,9.0019261763
23,43.062200957
1849,21.41075388
158,55.05107832
861,34.658187599
902,28.162911612
2179,45.756536648
1230,13.254325574000001
2369,87.971274686
444,7.7349620284
3075,25.487853445
754,30.647985989
923,30.579490689
3111,13.424625918
2210,12.114958785999999
311,5.8109112941
548,30.579490689
2099,29.273686000999998
1621,40.901373669
306,26.87820148
287,31.738885763
694,34.463502194
308,9.9873301586
2436,31.949374904000003
749,8.354563165
1689,30.579490689
1922,48.811118553
3011,40.321459359
2564,54.354539839
908,25.361460062
86,79.33662035
2496,27.272727273
2257,3.7303785780000003
2616,26.446324144000002
970,30.579490689
13,41.796200345
873,4.1511000415
808,38.70292887
2720,47.802197801999995
514,61.302681992
2530,32.492581602
409,33.453313572
1804,39.050664871
1337,26.172671652
2375,28.748890861
2621,44.289044288999996
